epoch	avg_loss	train_accuracy	dev_accuracy
0	1.726803715691551	0.0	0.0
1	1.5528287075354168	0.0	0.0
2	1.464913215877044	0.0	0.0
3	1.395656121451626	0.0	0.005681818181818182
4	1.3325228363730008	0.0	0.005681818181818182
5	1.2778247150920994	0.0	0.005681818181818182
6	1.2314282692942946	0.0	0.005681818181818182
7	1.191755104626058	0.0	0.011363636363636364
8	1.1561960525429327	0.01	0.017045454545454544
9	1.1228485802841628	0.0	0.011363636363636364
10	1.0907615871467944	0.02	0.011363636363636364
11	1.0587585495377603	0.02	0.045454545454545456
12	1.0256241817635816	0.04	0.0625
13	0.9910807228342271	0.1	0.06818181818181818
14	0.9551391868988146	0.24	0.13636363636363635
15	0.9182305515149364	0.28	0.19886363636363635
16	0.8808609941421531	0.46	0.3068181818181818
17	0.8438311263956058	0.55	0.4034090909090909
18	0.8080711886306017	0.82	0.4943181818181818
19	0.7737484449623474	0.8	0.6022727272727273
